Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
navy-blue-printed-kurta-set,Navy Blue Printed Kurta Set,"<p>Classic meets contemporary with this navy blue printed kurta set. Features elegant paisley and floral motifs in a sophisticated color palette. Comes with matching printed pants for a coordinated ensemble.</p><ul><li>2-piece set: Kurta, Pants</li><li>Premium cotton fabric</li><li>All-over floral and paisley print</li><li>Button placket front</li><li>Three-quarter sleeves</li><li>Matching printed pants</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurta Sets,"kurta set, navy blue, floral, printed, ethnic wear, casual wear",TRUE,Size,XL,,,ZB-KST-006-XL,450,shopify,25,deny,manual,3499,4499,TRUE,TRUE,,,active
blue-ajrakh-printed-kurta-set,Blue Ajrakh Printed Kurta Set,"<p>Embrace traditional artistry with this stunning blue ajrakh printed kurta set. Features authentic ajrakh-style prints with intricate geometric and floral motifs. Comes with matching printed straight pants.</p><ul><li>2-piece set: Kurta, Pants</li><li>Premium cotton fabric</li><li>Traditional ajrakh-style block prints</li><li>V-neckline with border detailing</li><li>Three-quarter sleeves</li><li>Straight fit kurta with side slits</li><li>Matching printed straight pants</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurta Sets,"kurta set, blue, ajrakh, block print, ethnic wear, traditional",TRUE,Size,S,,,ZB-KST-007,500,shopify,22,deny,manual,3999,4999,TRUE,TRUE,Blue Ajrakh Printed Kurta Set | Zara Boutique,Traditional blue ajrakh printed kurta set featuring authentic block print patterns with matching pants.,active
blue-ajrakh-printed-kurta-set,Blue Ajrakh Printed Kurta Set,"<p>Embrace traditional artistry with this stunning blue ajrakh printed kurta set. Features authentic ajrakh-style prints with intricate geometric and floral motifs. Comes with matching printed straight pants.</p><ul><li>2-piece set: Kurta, Pants</li><li>Premium cotton fabric</li><li>Traditional ajrakh-style block prints</li><li>V-neckline with border detailing</li><li>Three-quarter sleeves</li><li>Straight fit kurta with side slits</li><li>Matching printed straight pants</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurta Sets,"kurta set, blue, ajrakh, block print, ethnic wear, traditional",TRUE,Size,M,,,ZB-KST-007-M,500,shopify,22,deny,manual,3999,4999,TRUE,TRUE,,,active
blue-ajrakh-printed-kurta-set,Blue Ajrakh Printed Kurta Set,"<p>Embrace traditional artistry with this stunning blue ajrakh printed kurta set. Features authentic ajrakh-style prints with intricate geometric and floral motifs. Comes with matching printed straight pants.</p><ul><li>2-piece set: Kurta, Pants</li><li>Premium cotton fabric</li><li>Traditional ajrakh-style block prints</li><li>V-neckline with border detailing</li><li>Three-quarter sleeves</li><li>Straight fit kurta with side slits</li><li>Matching printed straight pants</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurta Sets,"kurta set, blue, ajrakh, block print, ethnic wear, traditional",TRUE,Size,L,,,ZB-KST-007-L,500,shopify,22,deny,manual,3999,4999,TRUE,TRUE,,,active
blue-ajrakh-printed-kurta-set,Blue Ajrakh Printed Kurta Set,"<p>Embrace traditional artistry with this stunning blue ajrakh printed kurta set. Features authentic ajrakh-style prints with intricate geometric and floral motifs. Comes with matching printed straight pants.</p><ul><li>2-piece set: Kurta, Pants</li><li>Premium cotton fabric</li><li>Traditional ajrakh-style block prints</li><li>V-neckline with border detailing</li><li>Three-quarter sleeves</li><li>Straight fit kurta with side slits</li><li>Matching printed straight pants</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Kurta Sets,"kurta set, blue, ajrakh, block print, ethnic wear, traditional",TRUE,Size,XL,,,ZB-KST-007-XL,500,shopify,22,deny,manual,3999,4999,TRUE,TRUE,,,active
sky-blue-floral-anarkali,Sky Blue Floral Anarkali Gown,"<p>Make a stunning impression with this sky blue floral anarkali gown. Features beautiful botanical prints with red, green, and cream accents. The floor-length silhouette with gathered waist creates an elegant, flowing look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Beautiful floral print throughout</li><li>Three-quarter sleeves with printed border</li><li>Empire waist with gathering</li><li>Floor-length with border print hem</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, sky blue, floral, ethnic wear, festive wear",TRUE,Size,S,,,ZB-ANR-008,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,Sky Blue Floral Anarkali Gown | Zara Boutique,Stunning sky blue anarkali gown featuring beautiful floral prints and elegant floor-length silhouette.,active
sky-blue-floral-anarkali,Sky Blue Floral Anarkali Gown,"<p>Make a stunning impression with this sky blue floral anarkali gown. Features beautiful botanical prints with red, green, and cream accents. The floor-length silhouette with gathered waist creates an elegant, flowing look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Beautiful floral print throughout</li><li>Three-quarter sleeves with printed border</li><li>Empire waist with gathering</li><li>Floor-length with border print hem</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, sky blue, floral, ethnic wear, festive wear",TRUE,Size,M,,,ZB-ANR-008-M,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
sky-blue-floral-anarkali,Sky Blue Floral Anarkali Gown,"<p>Make a stunning impression with this sky blue floral anarkali gown. Features beautiful botanical prints with red, green, and cream accents. The floor-length silhouette with gathered waist creates an elegant, flowing look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Beautiful floral print throughout</li><li>Three-quarter sleeves with printed border</li><li>Empire waist with gathering</li><li>Floor-length with border print hem</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, sky blue, floral, ethnic wear, festive wear",TRUE,Size,L,,,ZB-ANR-008-L,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
sky-blue-floral-anarkali,Sky Blue Floral Anarkali Gown,"<p>Make a stunning impression with this sky blue floral anarkali gown. Features beautiful botanical prints with red, green, and cream accents. The floor-length silhouette with gathered waist creates an elegant, flowing look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Beautiful floral print throughout</li><li>Three-quarter sleeves with printed border</li><li>Empire waist with gathering</li><li>Floor-length with border print hem</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, sky blue, floral, ethnic wear, festive wear",TRUE,Size,XL,,,ZB-ANR-008-XL,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
pink-floral-anarkali,Pink Floral Anarkali Gown,"<p>Embrace feminine elegance with this beautiful pink floral anarkali gown. Features delicate blue and pink floral motifs with an embroidered yoke panel. The flowing silhouette and gathered waist create a regal look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Embroidered yoke panel</li><li>Delicate floral print throughout</li><li>Three-quarter sleeves</li><li>Empire waist with gathering</li><li>Floor-length silhouette</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, pink, floral, embroidered, ethnic wear, festive wear",TRUE,Size,S,,,ZB-ANR-009,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,Pink Floral Anarkali Gown | Zara Boutique,Beautiful pink anarkali gown featuring delicate floral prints and embroidered yoke panel for a regal look.,active
pink-floral-anarkali,Pink Floral Anarkali Gown,"<p>Embrace feminine elegance with this beautiful pink floral anarkali gown. Features delicate blue and pink floral motifs with an embroidered yoke panel. The flowing silhouette and gathered waist create a regal look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Embroidered yoke panel</li><li>Delicate floral print throughout</li><li>Three-quarter sleeves</li><li>Empire waist with gathering</li><li>Floor-length silhouette</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, pink, floral, embroidered, ethnic wear, festive wear",TRUE,Size,M,,,ZB-ANR-009-M,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
pink-floral-anarkali,Pink Floral Anarkali Gown,"<p>Embrace feminine elegance with this beautiful pink floral anarkali gown. Features delicate blue and pink floral motifs with an embroidered yoke panel. The flowing silhouette and gathered waist create a regal look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Embroidered yoke panel</li><li>Delicate floral print throughout</li><li>Three-quarter sleeves</li><li>Empire waist with gathering</li><li>Floor-length silhouette</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, pink, floral, embroidered, ethnic wear, festive wear",TRUE,Size,L,,,ZB-ANR-009-L,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
pink-floral-anarkali,Pink Floral Anarkali Gown,"<p>Embrace feminine elegance with this beautiful pink floral anarkali gown. Features delicate blue and pink floral motifs with an embroidered yoke panel. The flowing silhouette and gathered waist create a regal look.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Embroidered yoke panel</li><li>Delicate floral print throughout</li><li>Three-quarter sleeves</li><li>Empire waist with gathering</li><li>Floor-length silhouette</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, pink, floral, embroidered, ethnic wear, festive wear",TRUE,Size,XL,,,ZB-ANR-009-XL,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
peach-floral-wrap-anarkali,Peach Floral Wrap Anarkali,"<p>This stunning peach floral wrap anarkali is a true showstopper. Features a beautiful wrap-style bodice with tassel ties and vibrant pink floral prints on a warm peach base. The flowing floor-length silhouette is perfect for special occasions.</p><ul><li>Premium cotton fabric</li><li>Wrap-style V-neckline</li><li>Decorative tassel ties</li><li>Vibrant floral print throughout</li><li>Three-quarter sleeves</li><li>Floor-length with printed border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, peach, floral, wrap style, ethnic wear, festive wear",TRUE,Size,S,,,ZB-ANR-010,600,shopify,12,deny,manual,5499,6999,TRUE,TRUE,Peach Floral Wrap Anarkali | Zara Boutique,Stunning peach wrap-style anarkali featuring vibrant floral prints and decorative tassel ties.,active
peach-floral-wrap-anarkali,Peach Floral Wrap Anarkali,"<p>This stunning peach floral wrap anarkali is a true showstopper. Features a beautiful wrap-style bodice with tassel ties and vibrant pink floral prints on a warm peach base. The flowing floor-length silhouette is perfect for special occasions.</p><ul><li>Premium cotton fabric</li><li>Wrap-style V-neckline</li><li>Decorative tassel ties</li><li>Vibrant floral print throughout</li><li>Three-quarter sleeves</li><li>Floor-length with printed border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, peach, floral, wrap style, ethnic wear, festive wear",TRUE,Size,M,,,ZB-ANR-010-M,600,shopify,12,deny,manual,5499,6999,TRUE,TRUE,,,active
peach-floral-wrap-anarkali,Peach Floral Wrap Anarkali,"<p>This stunning peach floral wrap anarkali is a true showstopper. Features a beautiful wrap-style bodice with tassel ties and vibrant pink floral prints on a warm peach base. The flowing floor-length silhouette is perfect for special occasions.</p><ul><li>Premium cotton fabric</li><li>Wrap-style V-neckline</li><li>Decorative tassel ties</li><li>Vibrant floral print throughout</li><li>Three-quarter sleeves</li><li>Floor-length with printed border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, peach, floral, wrap style, ethnic wear, festive wear",TRUE,Size,L,,,ZB-ANR-010-L,600,shopify,12,deny,manual,5499,6999,TRUE,TRUE,,,active
peach-floral-wrap-anarkali,Peach Floral Wrap Anarkali,"<p>This stunning peach floral wrap anarkali is a true showstopper. Features a beautiful wrap-style bodice with tassel ties and vibrant pink floral prints on a warm peach base. The flowing floor-length silhouette is perfect for special occasions.</p><ul><li>Premium cotton fabric</li><li>Wrap-style V-neckline</li><li>Decorative tassel ties</li><li>Vibrant floral print throughout</li><li>Three-quarter sleeves</li><li>Floor-length with printed border</li><li>Regular fit</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, peach, floral, wrap style, ethnic wear, festive wear",TRUE,Size,XL,,,ZB-ANR-010-XL,600,shopify,12,deny,manual,5499,6999,TRUE,TRUE,,,active
white-pink-tiered-anarkali,White Pink Floral Tiered Anarkali,"<p>Classic elegance meets bohemian charm with this white and pink floral tiered anarkali. Features a beautiful gradient print design with green and coral florals, a decorative yoke panel, and a gorgeous tiered skirt with contrast border.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Printed yoke panel</li><li>Delicate floral print in pink and green</li><li>Three-quarter sleeves with border</li><li>Tiered floor-length skirt</li><li>Contrast orange border at hem</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, white, pink, green, floral, tiered, ethnic wear, festive wear",TRUE,Size,S,,,ZB-ANR-011,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,White Pink Floral Tiered Anarkali | Zara Boutique,Elegant white tiered anarkali featuring pink and green floral prints with a beautiful contrast border.,active
white-pink-tiered-anarkali,White Pink Floral Tiered Anarkali,"<p>Classic elegance meets bohemian charm with this white and pink floral tiered anarkali. Features a beautiful gradient print design with green and coral florals, a decorative yoke panel, and a gorgeous tiered skirt with contrast border.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Printed yoke panel</li><li>Delicate floral print in pink and green</li><li>Three-quarter sleeves with border</li><li>Tiered floor-length skirt</li><li>Contrast orange border at hem</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, white, pink, green, floral, tiered, ethnic wear, festive wear",TRUE,Size,M,,,ZB-ANR-011-M,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
white-pink-tiered-anarkali,White Pink Floral Tiered Anarkali,"<p>Classic elegance meets bohemian charm with this white and pink floral tiered anarkali. Features a beautiful gradient print design with green and coral florals, a decorative yoke panel, and a gorgeous tiered skirt with contrast border.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Printed yoke panel</li><li>Delicate floral print in pink and green</li><li>Three-quarter sleeves with border</li><li>Tiered floor-length skirt</li><li>Contrast orange border at hem</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, white, pink, green, floral, tiered, ethnic wear, festive wear",TRUE,Size,L,,,ZB-ANR-011-L,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
white-pink-tiered-anarkali,White Pink Floral Tiered Anarkali,"<p>Classic elegance meets bohemian charm with this white and pink floral tiered anarkali. Features a beautiful gradient print design with green and coral florals, a decorative yoke panel, and a gorgeous tiered skirt with contrast border.</p><ul><li>Premium cotton fabric</li><li>Notch neckline</li><li>Printed yoke panel</li><li>Delicate floral print in pink and green</li><li>Three-quarter sleeves with border</li><li>Tiered floor-length skirt</li><li>Contrast orange border at hem</li><li>Machine wash cold</li></ul>",Zara Boutique,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Anarkalis,"anarkali, gown, white, pink, green, floral, tiered, ethnic wear, festive wear",TRUE,Size,XL,,,ZB-ANR-011-XL,550,shopify,15,deny,manual,4999,6499,TRUE,TRUE,,,active
